id,track_id,track_name,artists,popularity,ingest_ts
1,track_000001,Rolling in the Deep 62,Eminem,56,2026-02-18T13:05:10.207099
2,track_000002,Black 39,Bruno Mars,75,2025-09-23T13:05:10.207267
3,track_000003,Hotel California 30,Rihanna,24,2025-11-09T13:05:10.207303
4,track_000004,Blinding Lights 85,Drake,28,2025-11-22T13:05:10.207328
5,track_000005,Blinding Lights 38,Adele,89,2025-12-10T13:05:10.207344
6,track_000006,Smells Like Teen Spirit 47,Mariah Carey,97,2025-12-21T13:05:10.207357
7,track_000007,Let It Be 32,Lady Gaga,94,2026-01-10T13:05:10.207370
8,track_000008,Stairway to Heaven 19,Lady Gaga,69,2026-02-27T13:05:10.207381
9,track_000009,Imagine 75,Adele,93,2025-09-25T13:05:10.207393
10,track_000010,Let It Be 12,Bruno Mars,81,2025-12-01T13:05:10.207405
11,track_000011,The Sound of Silence 61,Adele,59,2026-01-04T13:05:10.207417
12,track_000012,Hotel California 93,Eminem,96,2025-11-06T13:05:10.207429
13,track_000013,Hotel California 72,Post Malone,25,2025-11-07T13:05:10.207441
14,track_000014,All Along the Watchtower 45,Post Malone,64,2025-09-16T13:05:10.207452
15,track_000015,All Along the Watchtower 57,The Weeknd,73,2025-10-12T13:05:10.207465
16,track_000016,Black 46,Adele,24,2025-11-12T13:05:10.207477
17,track_000017,Blinding Lights 84,Post Malone,94,2026-01-06T13:05:10.207545
18,track_000018,Stairway to Heaven 95,Lady Gaga,98,2025-09-08T13:05:10.207610
19,track_000019,Imagine 84,Post Malone,67,2025-10-18T13:05:10.207684
20,track_000020,Someone Like You 96,Ed Sheeran,72,2026-02-09T13:05:10.207700
21,track_000021,Someone Like You 45,Ariana Grande,24,2025-12-26T13:05:10.207713
22,track_000022,Smells Like Teen Spirit 61,Rihanna,29,2025-12-06T13:05:10.207724
23,track_000023,Stairway to Heaven 44,Post Malone,95,2025-11-24T13:05:10.207737
24,track_000024,Stairway to Heaven 19,Katy Perry,43,2025-11-28T13:05:10.207748
25,track_000025,The Sound of Silence 54,Dua Lipa,76,2025-10-13T13:05:10.207760
26,track_000026,Uptown Funk 19,Dua Lipa,48,2025-10-19T13:05:10.207772
27,track_000027,Someone Like You 65,Bruno Mars,37,2025-10-25T13:05:10.207784
28,track_000028,Imagine 65,Katy Perry,91,2026-01-28T13:05:10.207796
29,track_000029,Like a Rolling Stone 25,Billie Eilish,86,2026-01-14T13:05:10.207807
30,track_000030,Black 30,Adele,90,2025-09-21T13:05:10.207818
