user_id,user_name,user_age,user_country,created_at,ingest_ts
1,Casey_3632,21,IN,2023-04-26,2025-11-14T13:05:10.699637
2,Taylor_3979,26,AT,2023-05-17,2025-09-02T13:05:10.699678
3,River_1419,80,MX,2023-09-22,2025-12-28T13:05:10.699709
4,Riley_1731,68,IT,2024-10-06,2026-02-25T13:05:10.699759
5,Devon_4727,22,AT,2023-11-28,2025-09-27T13:05:10.699782
6,Alex_6085,57,US,2024-06-12,2025-12-28T13:05:10.699803
7,Alex_4906,53,DE,2024-01-01,2026-01-26T13:05:10.699822
8,Avery_5757,42,IN,2023-02-22,2025-11-17T13:05:10.699840
9,River_7794,42,ES,2024-03-10,2025-12-16T13:05:10.699858
10,Riley_9233,46,AU,2024-01-14,2025-10-31T13:05:10.699876
11,Sydney_5722,22,IN,2023-11-07,2026-02-23T13:05:10.699894
12,Taylor_6328,27,MX,2023-09-14,2025-12-03T13:05:10.699911
13,Cameron_7405,49,BE,2024-01-10,2026-01-09T13:05:10.699929
14,Skyler_9430,84,KR,2024-01-05,2026-01-30T13:05:10.699947
15,Alex_5747,45,US,2023-04-24,2025-12-26T13:05:10.699963
16,Cameron_6972,76,AU,2023-09-01,2025-11-11T13:05:10.699980
17,Sage_1570,68,KR,2024-07-19,2025-10-30T13:05:10.699997
18,Cameron_2521,67,FR,2023-10-23,2025-12-20T13:05:10.700013
19,River_1791,58,JP,2024-05-25,2025-12-13T13:05:10.700029
20,Cameron_8884,23,DK,2024-07-05,2025-09-07T13:05:10.700046
21,Casey_1247,32,CH,2023-06-01,2025-10-13T13:05:10.700066
22,Sage_3157,39,UK,2023-08-02,2025-12-11T13:05:10.700083
23,Jordan_7843,80,UK,2024-09-30,2026-01-06T13:05:10.700100
24,Riley_8036,21,FR,2024-11-18,2025-12-03T13:05:10.700120
25,Riley_6717,65,BR,2023-12-08,2025-09-27T13:05:10.700138
26,Avery_7016,22,NL,2023-10-06,2025-12-05T13:05:10.700155
27,Morgan_6431,70,SE,2023-06-05,2025-10-18T13:05:10.700171
28,Sydney_6986,52,IN,2023-02-28,2025-11-09T13:05:10.700187
29,Quinn_9516,84,UK,2023-08-04,2025-10-09T13:05:10.700204
30,Taylor_5777,70,DE,2024-04-28,2025-12-11T13:05:10.700221
31,Cameron_5733,69,US,2023-10-01,2026-01-04T13:05:10.700240
32,Cameron_6909,54,BR,2023-02-21,2026-02-06T13:05:10.700257
33,Sydney_5601,46,BE,2024-06-27,2026-01-02T13:05:10.700274
